fips,pred
22115,72.1
1039,71.9
13225,71.9
21089,71.9
40111,71.9
47117,71.9
47041,71.9
28131,71.8
37185,71.8
5117,71.7
12041,71.7
20093,71.7
22043,71.7
47129,71.7
5139,71.6
21137,71.6
29099,71.6
51051,71.6
47131,71.5
18041,71.4
20061,71.4
19135,71.3
1061,71.2
29207,71.2
54103,71.2
12107,71.1
47145,71.1
5095,70.9
2130,70.8
13195,70.8
22123,70.8
37053,70.8
47171,70.8
13171,70.7
18071,70.7
22049,70.7
45069,70.7
22039,70.6
39059,70.6
40023,70.6
54015,70.6
5023,70.5
13229,70.5
18025,70.5
21061,70.5
48343,70.5
5083,70.4
13301,70.4
24039,70.4
29117,70.4
40135,70.4
5093,70.2
5013,70.2
5017,70.2
5047,70.1
22053,70.1
28093,70.1
40091,70.1
48001,70.1
1079,70
18049,70
28109,70
29197,70
1133,69.9
5121,69.9
21041,69.9
40061,69.9
47115,69.9
48337,69.9
13213,69.7
18117,69.7
5055,69.6
5145,69.6
18175,69.6
21205,69.6
39119,69.6
17193,69.5
17199,69.5
17165,69.5
18055,69.5
47161,69.5
48391,69.5
17151,69.4
18073,69.4
29229,69.4
48291,69.4
48059,69.4
12093,69.3
21093,69.3
28137,69.3
17021,69.2
45025,69.2
51183,69.2
1027,69.1
5135,69.1
21155,69.1
37027,69.1
51097,69
1037,68.9
28057,68.9
29111,68.9
39125,68.9
48429,68.9
51730,68.9
13163,68.8
47027,68.8
17081,68.7
21173,68.7
47063,68.7
12059,68.6
22001,68.6
13155,68.5
17135,68.5
54091,68.5
12013,68.4
21087,68.4
29131,68.4
5011,68.3
47099,68.3
26001,68.2
39027,68.2
47107,68.2
13029,68.1
21149,68.1
51127,68.1
18103,68
42053,68
5071,67.9
12121,67.9
17127,67.9
21057,67.9
29169,67.9
32023,67.9
47077,67.9
1007,67.8
5001,67.8
18095,67.8
21003,67.8
29045,67.8
29113,67.8
37171,67.8
39087,67.8
39131,67.8
1055,67.7
16009,67.7
28083,67.7
39047,67.7
45087,67.7
47067,67.7
17121,67.6
12133,67.5
18139,67.5
21101,67.5
28047,67.5
20209,67.4
21191,67.4
21049,67.4
22117,67.4
5069,67.3
18019,67.3
21037,67.3
28023,67.3
21167,67.2
39053,67.2
47019,67.2
51169,67.2
51750,67.2
22091,67.1
26039,67.1
28135,67.1
40037,67.1
47043,67.1
1053,67
5025,67
22047,67
5043,66.9
5053,66.9
26165,66.9
40099,66.9
12123,66.8
13209,66.8
26085,66.8
37173,66.8
22009,66.7
29015,66.7
39071,66.7
1095,66.6
19123,66.6
21107,66.6
29185,66.6
30065,66.6
51670,66.6
12005,66.5
13005,66.5
48281,66.5
17101,66.4
17191,66.4
18109,66.4
21105,66.4
22063,66.4
40021,66.4
40081,66.4
22045,66.3
39073,66.3
54067,66.3
28011,66.2
29510,66.2
39079,66.2
51580,66.2
1051,66.1
22025,66.1
22127,66.1
28119,66.1
31163,66.1
40075,66.1
1021,66
17003,66
18093,66
26135,66
5129,65.9
13079,65.9
36075,65.9
37103,65.9
40121,65.9
1059,65.8
12007,65.8
13103,65.8
18017,65.8
28129,65.8
18111,65.7
29173,65.7
47185,65.7
29141,65.6
29115,65.6
40089,65.6
48405,65.6
21227,65.5
37169,65.5
51007,65.5
36073,65.4
40015,65.4
47045,65.4
51167,65.4
1047,65.3
1129,65.3
21019,65.3
51770,65.3
12045,65.2
47137,65.2
54057,65.2
54087,65.2
54055,65.2
13017,65.1
18065,65.1
20107,65.1
21097,65.1
21219,65.1
29021,65.1
47147,65.1
54003,65.1
1115,65
13259,65
18167,65
18177,65
21117,65
29091,65
40055,65
5147,64.9
5101,64.9
51043,64.9
13201,64.8
17183,64.8
39115,64.8
47091,64.8
40071,64.7
46121,64.7
47001,64.7
13149,64.6
26035,64.6
39129,64.6
39031,64.6
40107,64.6
51033,64.6
54041,64.6
13119,64.5
13313,64.5
13131,64.5
18131,64.5
21001,64.5
37153,64.5
39163,64.5
51185,64.5
54039,64.5
18181,64.4
20125,64.4
21081,64.4
24015,64.4
47177,64.4
5005,64.3
17079,64.3
18097,64.3
28123,64.3
40067,64.3
47069,64.3
51595,64.3
54011,64.3
12017,64.2
21179,64.2
26133,64.2
41011,64.2
54099,64.2
55003,64.2
18029,64.1
51071,64.1
1113,64
1071,64
18121,64
18153,64
18053,64
40019,64
40053,64
54095,64
17125,63.9
39141,63.9
40097,63.9
26019,63.8
28091,63.7
28017,63.7
54035,63.7
1045,63.6
28035,63.6
32021,63.6
37047,63.6
37165,63.6
47071,63.6
5127,63.5
5109,63.5
40033,63.5
51117,63.5
54027,63.5
13013,63.4
29033,63.4
37145,63.4
1097,63.3
13173,63.3
22013,63.3
29171,63.3
29007,63.3
37121,63.3
39127,63.3
39077,63.3
13015,63.2
20021,63.2
1017,63.1
13257,63.1
28113,63.1
36115,63.1
37071,63.1
39009,63.1
48217,63.1
48231,63.1
55013,63.1
19071,63
28151,63
45061,63
13231,62.9
18061,62.9
18119,62.9
22007,62.9
29065,62.9
37031,62.9
5041,62.8
12023,62.8
17115,62.8
26051,62.8
29175,62.8
47031,62.8
20159,62.7
26031,62.7
47035,62.7
48289,62.7
51077,62.7
5027,62.6
5009,62.6
17035,62.6
53027,62.6
5051,62.5
18079,62.5
29186,62.5
30035,62.5
21047,62.4
22105,62.4
28125,62.4
54029,62.4
17071,62.3
17083,62.3
22059,62.3
51125,62.3
13177,62.2
18045,62.2
18023,62.2
23003,62.2
28051,62.2
39101,62.2
5131,62.1
13157,62.1
13043,62.1
17129,62.1
45067,62.1
47053,62.1
13071,62
22073,62
24019,62
26153,62
29085,62
29013,62
5077,61.9
20183,61.9
26075,61.9
29217,61.9
40095,61.9
48361,61.9
51191,61.9
5033,61.8
13085,61.8
20139,61.8
24510,61.8
28027,61.8
45023,61.8
47155,61.8
48083,61.8
51057,61.8
1131,61.7
12113,61.6
29153,61.6
45059,61.6
48093,61.6
17169,61.5
19155,61.5
21039,61.5
22099,61.5
37133,61.5
54033,61.5
1043,61.4
13263,61.4
54007,61.4
1005,61.3
5045,61.3
28059,61.3
37057,61.3
39025,61.3
51005,61.3
1033,61.2
22097,61.2
26137,61.2
32019,61.2
47125,61.2
47183,61.2
21069,61.1
23029,61.1
1121,61
13283,61
32027,61
37023,61
47119,61
47017,61
13095,60.9
21157,60.9
23017,60.9
29105,60.9
40125,60.9
2261,60.8
23001,60.8
28025,60.8
17047,60.7
26123,60.7
29097,60.7
39023,60.7
54049,60.7
13275,60.6
13183,60.6
21123,60.6
21229,60.6
26049,60.6
28001,60.6
48457,60.6
53051,60.6
1103,60.5
13075,60.5
17087,60.5
21111,60.5
28127,60.5
54107,60.5
5133,60.4
22037,60.4
23019,60.4
28115,60.4
37163,60.4
1105,60.3
36089,60.3
48073,60.3
51740,60.3
1035,60.2
18013,60.2
26141,60.2
37157,60.2
37085,60.2
37151,60.2
40039,60.2
48503,60.2
48213,60.2
13023,60.1
13099,60.1
17179,60.1
17143,60.1
21015,60.1
26143,60.1
28015,60.1
29009,60.1
39089,60.1
40123,60.1
40087,60.1
48207,60.1
51119,60.1
56005,60.1
13165,60
36101,60
37177,60
39091,60
39007,60
40069,60
42059,60
48419,60
48203,60
1015,59.9
1009,59.9
6015,59.9
13069,59.9
17117,59.9
22057,59.9
28003,59.9
32001,59.9
42051,59.9
47055,59.9
48379,59.9
48349,59.9
54097,59.9
21029,59.8
24047,59.8
28133,59.8
51139,59.8
54081,59.8
1029,59.7
17185,59.7
17045,59.7
19111,59.7
21113,59.7
24045,59.7
28063,59.7
30091,59.7
41019,59.7
45015,59.7
47163,59.7
48347,59.7
51109,59.7
22029,59.6
28163,59.6
29179,59.6
47169,59.6
13217,59.5
21209,59.5
21143,59.5
22085,59.5
22011,59.5
26147,59.5
28029,59.5
37139,59.5
46019,59.5
45089,59.4
1001,59.3
5063,59.3
13107,59.3
13305,59.3
26033,59.3
29049,59.3
30097,59.3
37005,59.3
13081,59.2
16039,59.2
18059,59.2
18005,59.2
26117,59.2
37045,59.2
37041,59.2
48267,59.2
48035,59.2
51049,59.2
55077,59.2
4015,59.1
13021,59.1
18135,59.1
26059,59.1
31029,59.1
36023,59.1
37013,59.1
48483,59.1
51155,59.1
2280,59
5079,59
13045,59
20037,59
21215,59
26155,59
50011,59
26025,58.9
26129,58.9
26159,58.9
29061,58.9
37069,58.9
41041,58.9
48353,58.9
12033,58.8
22005,58.8
22089,58.8
26013,58.8
36097,58.8
47015,58.8
48067,58.8
48133,58.8
48147,58.8
31021,58.7
39081,58.7
40147,58.7
48037,58.7
5003,58.6
8099,58.6
13279,58.6
18101,58.6
18035,58.6
19057,58.6
22107,58.6
28111,58.6
29127,58.6
40065,58.6
45055,58.6
1111,58.5
5087,58.5
12019,58.5
17119,58.5
18077,58.5
21063,58.5
28033,58.5
29093,58.5
37193,58.5
37159,58.5
39017,58.5
45051,58.5
48335,58.5
18021,58.4
19039,58.4
22003,58.4
26121,58.4
29057,58.4
36083,58.4
37155,58.4
37101,58.4
48363,58.4
1057,58.3
2050,58.3
28099,58.3
40117,58.3
42101,58.3
5137,58.2
13087,58.2
36037,58.2
37191,58.2
40031,58.2
47033,58.2
20043,58.1
22019,58.1
28159,58.1
29005,58.1
37111,58.1
48099,58.1
37127,58
18125,57.9
23025,57.9
37113,57.9
39065,57.9
45021,57.9
48499,57.9
48293,57.9
54065,57.9
55031,57.9
1065,57.8
5113,57.8
18137,57.8
26073,57.8
29203,57.8
40041,57.8
48351,57.8
13317,57.7
17201,57.7
18075,57.7
26163,57.7
39135,57.7
48475,57.7
51111,57.7
13189,57.6
36041,57.6
39067,57.6
45001,57.6
46087,57.6
48459,57.6
48023,57.6
48089,57.6
1107,57.5
5141,57.5
22083,57.5
48467,57.5
17069,57.4
28147,57.4
12101,57.3
12089,57.3
23011,57.3
28007,57.3
42035,57.3
46053,57.3
47007,57.3
47075,57.3
51700,57.3
51760,57.3
13289,57.2
18163,57.2
19153,57.2
37039,57.2
48179,57.2
50005,57.2
1081,57.1
12091,57.1
17073,57.1
17187,57.1
18047,57.1
19029,57.1
21035,57.1
22109,57.1
28095,57.1
47037,57.1
10001,57
13251,57
26053,57
26115,57
28097,57
29163,57
37049,57
13319,56.9
18031,56.9
21021,56.9
22125,56.9
26105,56.9
29219,56.9
30061,56.9
37079,56.9
41033,56.9
48367,56.9
48071,56.9
50017,56.9
1077,56.8
13031,56.8
13245,56.8
17163,56.8
28149,56.8
30053,56.8
37019,56.8
37131,56.8
13197,56.7
13169,56.7
17159,56.7
17195,56.7
24011,56.7
26095,56.7
29039,56.7
38067,56.7
39133,56.7
40051,56.7
47011,56.7
48385,56.7
51187,56.7
5081,56.6
12083,56.6
18011,56.6
26087,56.6
28143,56.6
29031,56.6
37051,56.6
39039,56.6
42105,56.6
48007,56.6
48021,56.6
48365,56.6
13293,56.5
13281,56.5
17099,56.5
19175,56.5
22113,56.5
23027,56.5
39155,56.5
40043,56.5
42121,56.5
48181,56.5
13153,56.4
19073,56.4
28087,56.4
36033,56.4
40077,56.4
47003,56.4
48357,56.4
51027,56.4
1067,56.3
1049,56.3
13001,56.3
19007,56.3
19013,56.3
20147,56.3
22095,56.3
23021,56.3
36063,56.3
37161,56.3
37007,56.3
39175,56.3
39113,56.3
45041,56.3
48129,56.3
13205,56.2
18145,56.2
19019,56.2
21017,56.2
27095,56.2
28141,56.2
36053,56.2
36015,56.2
39021,56.2
39143,56.2
39139,56.2
45011,56.2
45031,56.2
1069,56.1
17023,56.1
17029,56.1
20049,56.1
20099,56.1
20085,56.1
26119,56.1
27151,56.1
29215,56.1
48251,56.1
6033,56
13105,56
13065,56
18027,56
20007,56
28067,56
37073,56
40113,56
51590,56
51650,56
1083,55.9
13237,55.9
13193,55.9
18091,55.9
27011,55.9
29059,55.9
40109,55.9
47093,55.9
53049,55.9
54075,55.9
5103,55.8
12053,55.8
17025,55.8
31173,55.8
37195,55.8
37167,55.8
48485,55.8
17061,55.7
29047,55.7
30099,55.7
36021,55.7
39123,55.7
39061,55.7
48409,55.7
48277,55.7
55107,55.7
5057,55.6
21145,55.6
22119,55.6
28153,55.6
29081,55.6
29079,55.6
48183,55.6
51036,55.6
13115,55.5
17033,55.5
19179,55.5
29145,55.5
34015,55.5
39167,55.5
12009,55.4
26131,55.4
39095,55.4
39085,55.4
45027,55.4
47103,55.4
51099,55.4
51035,55.4
6115,55.3
17063,55.3
29159,55.3
29095,55.3
38073,55.3
40145,55.3
47189,55.3
47179,55.3
48077,55.3
20089,55.2
33001,55.2
48497,55.2
1031,55.1
5029,55.1
17091,55.1
19067,55.1
19107,55.1
39093,55.1
45073,55.1
51143,55.1
51540,55.1
12079,55
13097,55
17155,55
28065,55
42089,55
45083,55
46047,55
51053,55
13287,54.9
17067,54.9
22121,54.9
26069,54.9
28053,54.9
34009,54.9
37095,54.9
39109,54.9
40105,54.9
47141,54.9
55113,54.9
13109,54.8
20041,54.8
22017,54.8
33007,54.8
5119,54.7
18113,54.7
37105,54.7
48257,54.7
51089,54.7
55057,54.7
13175,54.6
29211,54.6
39111,54.6
54105,54.6
1123,54.5
13181,54.5
18107,54.5
28101,54.5
39159,54.5
40073,54.5
45009,54.5
48167,54.5
54009,54.5
55105,54.5
1125,54.4
5123,54.4
12131,54.4
13019,54.4
16087,54.4
20031,54.4
29071,54.4
39033,54.4
39011,54.4
39043,54.4
40137,54.4
41009,54.4
45043,54.4
47051,54.4
26007,54.3
26113,54.3
29027,54.3
39045,54.3
51171,54.3
51790,54.3
51047,54.3
17057,54.2
18043,54.2
27125,54.2
30071,54.2
39117,54.2
42047,54.2
45049,54.2
47009,54.2
51137,54.2
51021,54.2
51029,54.2
53045,54.2
12127,54.1
13277,54.1
17167,54.1
22015,54.1
26057,54.1
29075,54.1
29101,54.1
36039,54.1
36117,54.1
42099,54.1
48027,54.1
48237,54.1
1019,54
2090,54
13227,54
13199,54
16069,54
18085,54
24037,54
29167,54
37035,54
39147,54
42039,54
45091,54
51045,54
2170,53.9
13167,53.9
28021,53.9
36019,53.9
53015,53.9
12031,53.8
18089,53.8
19097,53.8
19099,53.8
26047,53.8
29199,53.8
29037,53.8
48199,53.8
51011,53.8
55129,53.8
13273,53.7
22079,53.7
29109,53.7
39019,53.7
46015,53.7
48097,53.7
51181,53.7
13091,53.6
18083,53.6
18171,53.6
20013,53.6
27089,53.6
48395,53.6
48051,53.6
51710,53.6
13297,53.5
24043,53.5
37065,53.5
39003,53.5
39049,53.5
39005,53.5
41049,53.5
22101,53.4
22071,53.4
24029,53.4
39099,53.4
41043,53.4
42025,53.4
48063,53.4
5019,53.3
20111,53.3
22093,53.3
33017,53.3
12047,53.2
17103,53.2
18033,53.2
19163,53.2
26021,53.2
29157,53.2
36121,53.2
37107,53.2
37181,53.2
38071,53.2
47157,53.2
48415,53.2
55085,53.2
10005,53.1
17147,53.1
30023,53.1
37199,53.1
37025,53.1
46113,53.1
51081,53.1
20059,53
20015,53
20077,53
26149,53
28075,53
31043,53
36065,53
40003,53
47175,53
48241,53
51085,53
51179,53
1099,52.9
12069,52.9
17107,52.9
18127,52.9
20027,52.9
37067,52.9
45071,52.9
48445,52.9
51177,52.9
12063,52.8
13185,52.8
17145,52.8
17007,52.8
26157,52.8
26027,52.8
28139,52.8
39097,52.8
42107,52.8
48501,52.8
48123,52.8
51680,52.8
53041,52.8
54069,52.8
5143,52.7
19173,52.7
22031,52.7
22069,52.7
22067,52.7
36123,52.7
39037,52.7
40001,52.7
42045,52.7
47105,52.7
48309,52.7
55059,52.7
1013,52.6
17177,52.6
17157,52.6
36029,52.6
37197,52.6
40143,52.6
44003,52.6
51069,52.6
55011,52.6
17095,52.5
37077,52.5
45007,52.5
6105,52.4
17161,52.4
18067,52.4
19177,52.4
29213,52.4
36067,52.4
36091,52.4
37083,52.4
42097,52.4
51135,52.4
20073,52.3
22051,52.3
26107,52.3
39153,52.3
39029,52.3
48049,52.3
51133,52.3
51193,52.3
54017,52.3
13255,52.2
18141,52.2
20001,52.2
21067,52.2
26099,52.2
28103,52.2
37097,52.2
41007,52.2
55081,52.2
17171,52.1
18183,52.1
29195,52.1
36017,52.1
37009,52.1
42073,52.1
45057,52.1
46099,52.1
47113,52.1
5125,52
17075,52
22055,52
28061,52
36077,52
42087,52
55079,52
1091,51.9
13223,51.9
17111,51.9
19077,51.9
21239,51.9
39151,51.9
51840,51.9
18009,51.8
20169,51.8
28085,51.8
31053,51.8
32510,51.8
36049,51.8
37109,51.8
37001,51.8
40119,51.8
40047,51.8
42125,51.8
47165,51.8
48239,51.8
48403,51.8
51145,51.8
51550,51.8
51009,51.8
1093,51.7
13215,51.7
29161,51.7
31107,51.7
31147,51.7
33019,51.7
39105,51.7
41065,51.7
48411,51.7
13033,51.6
20181,51.6
21185,51.6
22075,51.6
28145,51.6
36105,51.6
48401,51.6
53053,51.6
54037,51.6
1073,51.5
12039,51.5
19087,51.5
19193,51.5
19189,51.5
22103,51.5
42131,51.5
45077,51.5
48387,51.5
12055,51.4
